bob, 
alfredo, 
ana,
aram, 
bina, 
biko,
bianca,
burak,
adam,
ander,
abhijit,
antonio,
arjun,
smith,
esther,
duflo,
harriet, 
juliana,
bridget,
brett,
scott, 
bridget, 
helmut,
weikai, 
hai,
anmei,
armin,
aisha,
abdul,
ayanda,
keiko,
patrisia,
fish, 
fishermen,
fisherman,
fish~time,
zero,
b~hb,
like, 
use, 
hour, 
may,
right, 
either, 
term, 
among, 
call, 
much, 
see, 
figure,
table,
one,
two, 
three,
blue,
green,
ubha,
hbn,
ha,
ux,
coffe,
smoke,
fish,
data,
make,
shown,
cigarett,
point,


