word,freq
util,243
nash~equilibrium,121
will,120
game,100
can,94
bestrespons~function,81
equat,80
function,72
indiffer~curv,68
social,66
chang,65
level,64
work,59
cost,58
margin,57
product,56
alloc,54
rule,50
margin~benefit,50
coordin,48
equal,48
fallback,48
show,48
maxim,48
problem,46
less,46
case,44
peopl,44
power,44
tax,44
fish~hour,44
lake,43
optim,43
imparti~spectat,43
slope,41
paretoeffici,41
chapter,40
number,40
implement,39
best,39
now,38
total,38
extern~effect,38
time,37
respons,37
mnote,37
margin~cost,37
find,36
rate,36
curv,35
might,35
set,35
catch,35
result,34
negat,34
payoff,34
player,34
amount,33
govern,32
resourc,32
outcom,32
constraint,32
just,31
better,31
common,31
exampl,31
interact,30
possibl,30
valu,30
follow,30
given,30
option,30
uaha,29
period,29
first,28
differ,27
substitut,27
panel,27
particip,27
benefit,26
privat,26
disutil,26
feasibl,25
way,25
increas,25
reduc,25
mean,25
play,25
condit,25
mani,24
know,24
lower,24
consumpt,23
han,23
prefer,22
reason,22
person,22
take,22
pareto,22
permit,22
repeat,22
get,21
allow,21
give,21
also,21
choos,21
indic,21
must,21
offer,21
defect,21
posit,20
improv,20
strategi,20
therefor,20
new,19
impos,19
properti,19
consid,19
similar,19
compar,19
line,19
welfar,19
communiti,19
incent,18
action,18
cooper,18
littl,18
determin,18
receiv,18
frontier,18
subject,18
tioli,18
failur,17
paramet,17
owner,17
altruism,17
effect,16
good,16
choic,16
repres,16
decid,16
order,16
checkpoint,16
fact,16
fee,16
polici,15
experi,15
numer,15
name,15
effici,15
