word,freq
util,179
good,128
learn,110
indiffer~curv,106
feasibl~frontier,104
bundl,102
studi,99
live,95
prefer,92
can,90
margin~util,84
will,80
time,80
margin~rate,70
peopl,68
amount,64
util~function,64
chang,59
valu,58
increas,56
get,55
price,55
person,52
outcom,52
less,52
equat,52
payoff,51
give,49
slope,49
feasibl,46
constrain,45
differ,45
opportun~cost,45
product,44
constraint,43
show,42
function,41
consumpt,41
wealth,41
number,40
find,40
exampl,39
choic,39
rate~substitut,39
set,38
budget,38
work,38
environment~qualiti,38
map,37
unit,37
maximum,37
given,35
mean,35
rule,35
econom,34
model,33
repres,32
choos,32
measur,32
thing,31
also,31
money,31
result,31
way,30
case,30
level,30
utilitymaxim,30
pay,29
negat,29
just,29
polici,29
maxim,29
mrs~mrt,29
rate~transform,29
curv,28
equal,28
convent,28
chen,28
spend,27
posit,27
consum,27
chapter,26
lower,26
cost,25
cardin,25
think,25
therefor,25
combin,25
action,24
take,24
tradeoff,24
provid,24
question,23
total,23
highest,23
abat,22
mrsx,22
evalu,21
small,21
possibl,21
game,21
rank,21
mnote,21
panel,21
brenda,21
indiffer,20
mrs,20
understand,20
activ,20
requir,20
respect,20
optim,19
women,19
compar,19
higher,19
anoth,18
includ,18
subject,18
new,18
left,18
quantiti,18
better,18
diminish,18
might,17
ordin,17
problem,17
second,17
decreas,17
experi,17
say,17
billion,17
belief,16
limit,16
want,16
often,16
assign,16
kilogram,16
offer,16
willing,16
need,15
mathemat,15
horizont,15
first,15
bad,15
uxx,15
cobbdougla,15
demand,15
dian,15
environ,15
mrt,14
