word,freq
alloc,272
util,213
good,142
will,123
exchang,121
indiffer~curv,95
can,94
price,85
rule,78
endow,70
prefer,66
set,61
bundl,60
game,58
possibl,57
paretoeffici~curv,56
function,55
differ,55
person,52
offer,51
gigabyt,50
amount,50
margin,49
util~function,48
get,47
trade,46
case,46
constraint,45
gain,44
show,44
money,44
bargain,44
paretoeffici,43
edgeworth~box,43
valu,41
rent,40
panel,40
imparti~spectat,40
peopl,38
outcom,38
tioli~power,38
player,37
particip~constraint,37
power,36
result,36
given,36
best,35
pareto~effici,35
chapter,34
mean,34
fallback,34
rate,34
postexchang,33
feasibl,33
exampl,33
frontier,32
work,31
time,31
substitut,30
implement,30
coffe~kilogram,30
social~welfar,30
give,29
parti,29
interact,29
better,29
take,28
also,28
just,28
must,28
way,27
equal,27
level,27
respons,27
distribut,26
now,25
pay,25
conflict,24
first,24
employ,24
mutual,23
fair,23
depend,23
choos,23
move,23
might,23
reason,23
mrt,23
econom,22
equat,22
left,22
total,22
determin,22
constrain,22
altruist,22
particip,21
mrs,21
problem,21
maxim,21
box,20
posit,20
second,20
indic,20
slope,20
less,20
bestrespons,20
properti,19
think,19
paretoimprov,19
repres,19
ident,19
kilogram,18
anoth,18
place,18
find,17
know,17
consid,17
ubz,17
optim,17
market,17
incentivecompat,17
pareto,16
made,16
option,16
particular,16
start,16
lower,16
mnote,16
explain,15
similar,15
avail,15
need,15
quantiti,15
even,15
tangent,15
len,15
wage,15
legisl,15
budget,15
social,14
welfar,14
accept,14
process,14
greater,14
without,14
advantag,14
mani,14
privat,14
wors,14
includ,14
