word,freq
game,182
prefer,138
will,132
player,121
plant~earli,110
peopl,106
action,106
payoff,102
outcom,99
contribut,94
experi,82
can,82
plant~late,80
strategi,74
public~good,63
farmer,62
probabl,60
result,56
expect~payoff,55
exampl,52
behavior,50
play,50
conting,50
take,49
person,49
differ,48
offer,46
punish,46
respond,43
good,42
social,35
also,35
think,34
subject,34
earli~plant,34
mani,33
selfregard,32
econom,31
given,31
propos,30
common,30
even,30
mean,29
choic,29
chang,28
rule,28
choos,28
studi,28
money,28
rain,28
case,27
depend,27
set,27
tree,27
late,26
get,26
time,26
whether,26
interact,26
possibl,25
otherregard,25
coordin,25
know,25
occur,25
domin,25
reject,25
cost,24
benefit,24
first~mover,24
prefer~belief,24
price,23
valu,23
inform,23
number,23
motiv,23
way,23
equilibrium,23
belief~constraint,23
evid,22
owner,22
approach,22
sequenti,22
show,22
includ,22
consid,22
entir,22
problem,22
umbrella,22
experiment,22
good~game,22
payoff~plant,22
chapter,21
give,21
reciproc,21
palanpur,21
fine,21
land,20
just,20
believ,20
properti,20
low,20
care,20
model,20
popul,20
exclud,20
higher,19
base,19
understand,19
act,19
group,19
decis,18
nash,18
effect,18
actor,18
ben,18
risk,18
new,18
accept,18
wallet,18
first,17
equal,17
less,17
averag,17
best,17
happen,17
form,17
consist,17
dilemma,17
fraction,17
swahili,17
improv,17
extern,17
constraint,16
half,16
better,16
provid,16
ration,16
rather,16
often,16
economist,16
respons,16
branch,16
research,16
treatment,16
belief,15
dont,15
situat,15
resourc,15
part,15
decisionmak,15
